Location,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Total,Year
United States,76088800,28581200,38516100,82305400,41056700,47918100,314466400,2016
Alabama,1140500,427300,541700,1220600,636800,763200,4730100,2016
Alaska,194200,72600,101200,179500,94000,73500,714900,2016
Arizona,1684400,636200,796100,1664400,820100,1159600,6760900,2016
Arkansas,731900,262600,328000,727600,373600,471600,2895400,2016
California,9410300,3747200,5122900,10263600,4640800,5257600,38442400,2016
Colorado,1302600,502300,726700,1446200,691300,728900,5398100,2016
Connecticut,779800,305100,380800,942200,501300,555900,3465100,2016
Delaware,210300,74500,112000,233900,130700,162900,924300,2016
District of Columbia,123400,65800,135800,173900,69000,76500,644400,2016
Florida,4297500,1706000,2277100,5140000,2699100,4024300,20144000,2016
Georgia,2605000,907900,1209700,2730400,1217700,1330400,10001000,2016
Hawaii,316300,111500,168000,346000,183500,239300,1364600,2016
Idaho,452200,146000,195400,398600,205300,253200,1650700,2016
Illinois,3024600,1125300,1560100,3333500,1638300,1809500,12491200,2016
Indiana,1621300,602900,738100,1655500,858200,955400,6431400,2016
Iowa,739500,276700,350500,761100,409900,492800,3030400,2016
Kansas,737600,271200,327000,697200,367100,416800,2817000,2016
Kentucky,1037000,385100,485100,1129300,587300,663900,4287700,2016
Louisiana,1153300,420200,569000,1143100,590300,654600,4530500,2016
Maine,264800,93200,137700,340300,208100,249700,1293800,2016
Maryland,1393900,496500,726500,1602300,784000,853200,5856500,2016
Massachusetts,1430500,583400,836100,1775300,907200,1038100,6570600,2016
Michigan,2251300,909600,1092800,2486200,1384400,1569300,9693500,2016
Minnesota,1323400,456800,669100,1408200,733800,801600,5392900,2016
Mississippi,755300,272400,314900,735600,373000,436200,2887300,2016
Missouri,1437100,514400,693200,1509500,807600,936300,5898000,2016
Montana,235300,93300,110000,242200,153400,181000,1015100,2016
Nebraska,478400,172800,219500,461800,238400,274200,1845000,2016
Nevada,699500,256700,366500,769600,361500,436700,2890400,2016
New Hampshire,271000,106400,139200,352900,203600,218100,1291300,2016
New Jersey,2065300,743200,1007100,2429000,1182700,1335600,8762700,2016
New Mexico,502400,188800,239800,492300,271200,334900,2029400,2016
New York,4293800,1785100,2520400,5142900,2544000,2935400,19221500,2016
North Carolina,2383000,852900,1128500,2653200,1287900,1524500,9829900,2016
North Dakota,176600,77400,98100,174800,95000,104200,725900,2016
Ohio,2685200,982400,1307500,2891500,1594700,1817500,11278700,2016
Oklahoma,999300,349300,464500,935700,482500,569500,3800800,2016
Oregon,895000,352400,509800,1034000,544500,678800,4014500,2016
Pennsylvania,2749900,1043600,1465400,3173800,1789000,2143000,12364700,2016
Rhode Island,216000,97300,121500,266800,146500,165700,1013900,2016
South Carolina,1138400,417000,555100,1231700,651200,811800,4805300,2016
South Dakota,219700,73500,102800,194500,114400,131000,835800,2016
Tennessee,1550200,568700,764400,1710800,856600,1016900,6467700,2016
Texas,7572200,2623000,3540400,7108400,3078400,3255900,27178300,2016
Utah,962600,323000,393900,714400,290000,315500,2999300,2016
Vermont,122200,50800,63700,156500,95100,111400,599600,2016
Virginia,1927900,708400,9.76E+05,2195400,1072000,1201400,8080900,2016
Washington,1677900,635600,926300,1882200,940200,1062100,7124100,2016
West Virginia,386900,152100,184800,459000,263800,335100,1781700,2016
Wisconsin,1317200,504600,646600,1448700,807500,898800,5623300,2016
Wyoming,145200,50400,68800,139400,80400,85200,569400,2016
Puerto Rico,738200,335300,362600,872600,430800,639500,3379100,2016
