Location,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Total,Year
United States,76054600,28894900,37013500,83185000,39003500,43354000,307505500,2013
Alabama,1165900,441800,533800,1246600,616200,701400,4705800,2013
Alaska,191600,75300,96000,186900,88900,66300,705100,2013
Arizona,1668100,615800,771600,1631200,774200,1004900,6465700,2013
Arkansas,731400,255500,337700,742800,363500,437700,2868600,2013
California,9504300,3840800,4845800,10248700,4364000,4707700,37511300,2013
Colorado,1288700,484600,665600,1412000,649600,629700,5130200,2013
Connecticut,816100,286200,384800,994300,476200,521400,3479000,2013
Delaware,210700,78400,104800,243500,119100,142100,898500,2013
District of Columbia,113800,68800,126600,162500,67800,70800,610300,2013
Florida,4177900,1704900,2089500,5056300,2491100,3573500,19093200,2013
Georgia,2589900,913100,1156600,2720800,1147000,1163500,9690900,2013
Hawaii,314700,119600,160800,344100,176500,215900,1331500,2013
Idaho,443000,147100,182600,394600,194600,219000,1580900,2013
Illinois,3121600,1185300,1565700,3450400,1573600,1674500,12571100,2013
Indiana,1634700,585600,734100,1709500,823500,879000,6366500,2013
Iowa,748100,272500,344600,770700,399800,454700,2990300,2013
Kansas,741500,262500,336000,710600,356300,389600,2796500,2013
Kentucky,1042400,391900,484700,1160700,568600,612600,4260900,2013
Louisiana,1152000,449500,562800,1156700,575900,586400,4483200,2013
Maine,266300,103600,129000,361100,204000,227900,1291900,2013
Maryland,1392400,510000,711200,1639800,746000,768100,5767500,2013
Massachusetts,1439300,584200,786400,1827400,859900,954300,6451500,2013
Michigan,2314600,929000,1028900,2604100,1343800,1443900,9664300,2013
Minnesota,1314000,462000,661400,1432400,690800,727300,5287800,2013
Mississippi,765300,278200,325300,750600,367600,402200,2889200,2013
Missouri,1428700,546000,694700,1542600,769100,872000,5853100,2013
Montana,231200,90800,109700,246900,148200,159500,986300,2013
Nebraska,477800,169100,221900,460100,229600,252600,1811200,2013
Nevada,686700,250400,346900,750700,334900,375900,2745400,2013
New Hampshire,279900,104900,133000,375700,192300,194900,1280700,2013
New Jersey,2105800,734700,997000,2515200,1114900,1249300,8716900,2013
New Mexico,531300,196600,234300,509100,265800,303100,2040200,2013
New York,4374000,1843800,2443300,5292700,2441800,2724000,19119600,2013
North Carolina,2363300,869700,1082800,2633000,1210000,1363700,9522500,2013
North Dakota,163900,86200,84500,170800,91200,96900,693500,2013
Ohio,2718900,1004700,1271300,3023400,1539600,1681800,11239600,2013
Oklahoma,976900,358600,454200,951400,458600,527100,3726900,2013
Oregon,883400,351200,466000,1023800,533700,593400,3851600,2013
Pennsylvania,2790100,1095600,1381600,3338100,1726200,2012600,12344300,2013
Rhode Island,218300,100100,116500,279300,139500,154800,1008600,2013
South Carolina,1115200,435700,516300,1225900,615200,708000,4616200,2013
South Dakota,207800,74200,97100,206200,109100,117300,811600,2013
Tennessee,1541500,579300,732400,1720800,825000,919700,6318700,2013
Texas,7302000,2550900,3294900,6904600,2844400,2876200,25773000,2013
Utah,927800,312000,391200,674500,264900,279100,2849400,2013
Vermont,129300,47400,63800,167900,93900,100500,6.03E+05,2013
Virginia,1933100,717100,9.73E+05,2229600,1013300,1079800,7945700,2013
Washington,1637100,621700,871200,1845600,891500,930800,6797800,2013
West Virginia,390700,155800,189900,480000,270900,310900,1798200,2013
Wisconsin,1349500,497400,645700,1518000,761900,820000,5592500,2013
Wyoming,142300,55100,74100,140900,79600,75500,567300,2013
Puerto Rico,866300,362600,391700,935700,433600,592200,3582000,2013
