Location,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Total,Year
United States,77140300,27615100,35803300,85002800,34519200,37917100,297997800,2009
Alabama,1172700,422600,531900,1266900,549200,625700,4569100,2009
Alaska,194900,68700,81300,194400,78200,51200,668900,2009
Arizona,1786200,595200,831100,1696500,696300,852700,6457900,2009
Arkansas,731200,251000,328600,759600,334500,391200,2796100,2009
California,9794000,3520400,4663300,10285600,3808600,4022900,36094800,2009
Colorado,1275900,460500,634800,1436300,566000,517500,4891000,2009
Connecticut,840400,286400,359300,1040900,416000,460200,3403200,2009
Delaware,211400,72700,102400,242700,105200,121100,855500,2009
District of Columbia,118000,60900,96300,160800,66000,65800,567800,2009
Florida,4208400,1590600,2005000,4988100,2156700,3118500,18067300,2009
Georgia,2680000,874900,1169700,2764000,1021100,975300,9484800,2009
Hawaii,297700,104100,149400,338200,154400,179800,1223500,2009
Idaho,435800,154200,174300,392500,172600,178300,1507700,2009
Illinois,3283100,1177900,1569600,3607400,1403300,1517100,12558400,2009
Indiana,1638000,570400,736500,1768000,726100,782900,6221900,2009
Iowa,735300,269600,329400,799100,352900,416400,2902600,2009
Kansas,722900,276600,315300,746100,312800,342300,2716000,2009
Kentucky,1045800,374800,499000,1201400,509400,543300,4173500,2009
Louisiana,1167100,440200,528800,1189200,501000,526100,4352400,2009
Maine,277700,101300,130100,387000,181800,196000,1273900,2009
Maryland,1397500,501200,639000,1660600,659500,667800,5525700,2009
Massachusetts,1485100,565400,741200,1950900,774100,841300,6358100,2009
Michigan,2433800,911100,1043700,2847200,1203600,1284900,9724300,2009
Minnesota,1302300,473800,622500,1499600,602400,628300,5128900,2009
Mississippi,793300,276000,331100,757500,321900,356600,2836300,2009
Missouri,1484300,538100,673700,1638800,689300,781600,5805900,2009
Montana,227700,91100,103200,258000,128000,134700,942700,2009
Nebraska,454100,176300,206100,469400,197600,227900,1731300,2009
Nevada,704100,226400,340700,730600,292500,302000,2596300,2009
New Hampshire,298900,113100,127100,406000,168400,169500,1282900,2009
New Jersey,2129900,703500,964300,2597500,1000300,1123700,8519200,2009
New Mexico,537200,189100,230200,512000,233000,257100,1958500,2009
New York,4572800,1743600,2305400,5595600,2259500,2513400,18990400,2009
North Carolina,2344700,814400,1050100,2609800,1068900,1138800,9026700,2009
North Dakota,146400,74500,69700,163900,73100,87900,615400,2009
Ohio,2810200,971300,1290800,3240700,1376100,1518000,11207100,2009
Oklahoma,950200,350400,419900,940200,408500,474800,3544100,2009
Oregon,906400,341500,465100,1038700,490000,501800,3743600,2009
Pennsylvania,2859600,1039400,1340600,3543000,1532900,1838000,12153500,2009
Rhode Island,236100,87300,118100,301400,125700,143200,1011800,2009
South Carolina,1117900,389000,508300,1226400,553800,598200,4393700,2009
South Dakota,206600,76500,88300,204700,96700,108600,781400,2009
Tennessee,1543500,540000,730200,1754400,748200,800400,6116600,2009
Texas,7133500,2355100,3132400,6628200,2407200,2440500,24096900,2009
Utah,899500,329400,387900,638200,232400,246000,2733400,2009
Vermont,132100,57200,59800,179500,85000,85900,599600,2009
Virginia,1909600,693900,8.81E+05,2215800,894100,918100,7512800,2009
Washington,1629300,591200,812100,1875500,799400,779200,6486600,2009
West Virginia,395800,151700,197600,501400,247000,275400,1768900,2009
Wisconsin,1348900,518600,623500,1606300,670400,725000,5492700,2009
Wyoming,132200,52100,63300,146400,67800,64400,526300,2009
Puerto Rico,1011700,395600,477700,1035500,449200,552500,3922300,2009
