Location,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Total,Year
United States,76661500,28303400,36000400,84271800,37755000,40088600,303080600,2011
Alabama,1175500,441100,522000,1280100,604300,653000,4676000,2011
Alaska,193400,70700,88000,196500,90500,57800,697100,2011
Arizona,1680900,602800,742400,1636700,752000,909700,6324500,2011
Arkansas,731400,253600,333800,757200,361300,412400,2849500,2011
California,9641000,3760400,4685900,10286800,4187000,4301600,36862800,2011
Colorado,1266800,468700,645600,1419400,623300,560200,4983900,2011
Connecticut,834600,278500,370200,1033800,457400,491800,3466400,2011
Delaware,214200,76100,100200,244600,114500,130500,880100,2011
District of Columbia,109300,67600,119000,155000,65800,67200,583900,2011
Florida,4173100,1682000,1990300,5061200,2410000,3297700,18614200,2011
Georgia,2596500,889400,1151000,2733400,1102900,1044300,9517400,2011
Hawaii,314500,110900,155600,353600,178200,199000,1311900,2011
Idaho,438000,145600,181700,396300,187100,198600,1547300,2011
Illinois,3218200,1159800,1560300,3516500,1521700,1577200,12553800,2011
Indiana,1652800,577200,720800,1744700,800100,821300,6317100,2011
Iowa,744800,264100,351600,781400,387700,434300,2963800,2011
Kansas,744700,265900,318200,735000,344500,363800,2772200,2011
Kentucky,1055500,373400,490100,1184900,552700,571300,4227900,2011
Louisiana,1163900,442200,542500,1180600,550400,551600,4431200,2011
Maine,277000,98700,129800,378500,197400,210800,1292200,2011
Maryland,1393300,511600,675200,1660700,721500,706400,5668600,2011
Massachusetts,1461300,568300,746100,1869800,834600,880400,6360600,2011
Michigan,2373400,913800,1019000,2703900,1294800,1350200,9655100,2011
Minnesota,1324500,460600,643700,1464300,654800,674500,5222300,2011
Mississippi,779800,271900,323100,774300,356600,372800,2878500,2011
Missouri,1455100,522600,686500,1590600,748700,819900,5823500,2011
Montana,227100,91400,110000,253100,144500,145500,971600,2011
Nebraska,469700,170200,209200,471800,222500,238800,1782300,2011
Nevada,686100,245900,335400,746700,325800,336000,2675800,2011
New Hampshire,290600,104800,126600,394100,184900,177100,1278200,2011
New Jersey,2124200,717200,978400,2571100,1075800,1172100,8638700,2011
New Mexico,543200,199600,232100,517200,266000,278500,2036500,2011
New York,4429100,1833900,2357200,5391800,2367200,2561300,18940500,2011
North Carolina,2389800,830000,1078300,2642200,1177600,1235300,9353100,2011
North Dakota,156000,75600,78800,167100,86200,93400,657100,2011
Ohio,2779000,986700,1253500,3123800,1500900,1580700,11224600,2011
Oklahoma,975500,337000,437900,960800,453300,500300,3664800,2011
Oregon,883700,347700,472100,1021800,524900,543200,3793500,2011
Pennsylvania,2859400,1083200,1328700,3467600,1673400,1906100,12318300,2011
Rhode Island,226100,98000,112000,290400,135600,145400,1007400,2011
South Carolina,1122300,421300,498300,1235400,603800,638500,4519500,2011
South Dakota,208400,71900,90600,205600,100400,114400,791400,2011
Tennessee,1540600,560800,727000,1737600,813800,850700,6230500,2011
Texas,7238200,2458500,3163000,6815100,2711200,2620200,25006100,2011
Utah,913300,307700,392100,644900,255200,254300,2767500,2011
Vermont,128000,50500,61000,175900,93400,90900,599800,2011
Virginia,1924200,710400,9.34E+05,2246800,984600,983900,7783700,2011
Washington,1628700,613700,838600,1860100,872100,841100,6654400,2011
West Virginia,397200,158700,188400,494800,270500,292500,1802200,2011
Wisconsin,1369100,499800,634500,1551600,734200,760800,5549900,2011
Wyoming,138500,51600,70100,144800,77100,69500,551600,2011
Puerto Rico,930600,366100,418900,957600,440100,558400,3671700,2011
