Location,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Total,Year
United States,76332200,28596000,36543900,83795900,38285200,41823400,305376600,2012
Alabama,1171400,447300,523500,1266800,609700,677300,4696000,2012
Alaska,190500,74800,91000,196000,94300,59700,706200,2012
Arizona,1671200,603700,752300,1640500,756600,962000,6386300,2012
Arkansas,728600,261000,333200,751800,359400,426100,2860200,2012
California,9597700,3818000,4742800,10290700,4261900,4510200,37221500,2012
Colorado,1273600,478600,652700,1409300,637000,594700,5045900,2012
Connecticut,827400,291300,368200,1018400,462500,511600,3479300,2012
Delaware,211400,83600,96900,242000,116100,137900,888000,2012
District of Columbia,114300,64100,123600,158400,66200,69200,596000,2012
Florida,4158900,1706400,2052100,5075100,2445400,3439000,18876900,2012
Georgia,2590600,902800,1161700,2726600,1125300,1109400,9616400,2012
Hawaii,315700,116300,162600,349300,179900,206500,1330300,2012
Idaho,438200,148700,181300,396700,191700,206000,1562500,2012
Illinois,3173100,1170000,1564000,3486200,1541700,1632900,12567900,2012
Indiana,1639100,585800,733100,1721100,804600,855100,6338800,2012
Iowa,743800,276500,344400,777100,389000,445200,2976000,2012
Kansas,744800,263500,334400,723700,347800,373300,2787500,2012
Kentucky,1042800,380600,488700,1174000,558300,590700,4235100,2012
Louisiana,1159200,442400,551800,1168700,557200,577700,4457000,2012
Maine,275000,99000,131300,367300,200600,219300,1292600,2012
Maryland,1394400,514900,698100,1643700,733200,738400,5722700,2012
Massachusetts,1454900,566500,775000,1849800,844800,919500,6410600,2012
Michigan,2344200,922900,1016100,2654300,1316000,1405800,9659300,2012
Minnesota,1322100,441600,671300,1443600,680200,697500,5256300,2012
Mississippi,782800,281500,322600,751900,358400,387300,2884500,2012
Missouri,1441700,527500,695700,1562600,753600,849600,5830600,2012
Montana,227400,85900,108900,255900,147200,153500,978700,2012
Nebraska,477300,158500,219000,471200,224900,244300,1795100,2012
Nevada,683800,250900,341700,749600,329500,355500,2710900,2012
New Hampshire,283900,104300,128600,385600,189600,188000,1280100,2012
New Jersey,2110800,723600,990200,2554700,1096500,1209700,8685500,2012
New Mexico,541900,183200,241700,519800,264300,288400,2039200,2012
New York,4412800,1839600,2395400,5333200,2405200,2654000,19040100,2012
North Carolina,2368400,850400,1076500,2654200,1188900,1300800,9439200,2012
North Dakota,158900,75000,87000,168300,88400,94300,671900,2012
Ohio,2740400,1003300,1250200,3073300,1517000,1637900,11222100,2012
Oklahoma,969500,345800,441900,961800,455400,515100,3689500,2012
Oregon,889500,342500,473800,1022400,523900,573300,3825500,2012
Pennsylvania,2823400,1112700,1358700,3386800,1702100,1963900,12347600,2012
Rhode Island,224900,98400,114300,283400,135300,151600,1007900,2012
South Carolina,1127200,420600,512200,1227500,603800,677700,4569100,2012
South Dakota,209200,73100,95600,200700,108800,113000,800400,2012
Tennessee,1545700,566500,726800,1729100,815700,893600,6277400,2012
Texas,7248300,2501100,3236000,6872800,2772200,2753900,25384300,2012
Utah,907500,316300,396300,656800,257800,267000,2801700,2012
Vermont,126300,52900,61900,168300,94300,96900,600700,2012
Virginia,1923800,705400,9.64E+05,2242600,992800,1036800,7865500,2012
Washington,1634300,616800,849400,1862500,883700,886200,6732900,2012
West Virginia,394700,157100,190000,486400,272000,301500,1801800,2012
Wisconsin,1355900,490900,642800,1538600,746200,791700,5566100,2012
Wyoming,139200,51700,72000,145000,78100,72900,559000,2012
Puerto Rico,902700,367400,402400,949500,437000,575000,3634000,2012
